FID,postcode,pc_name,pa_fips,city_town,county,area_sqmi
311,1952,SALISBURY,59210,"SALISBURY, TOWN OF",ESSEX,15.4487442
312,1834,GROVELAND,27585,"GROVELAND, TOWN OF",ESSEX,9.20026895
313,1772,SOUTHBOROUGH,63130,"SOUTHBOROUGH, TOWN OF",WORCESTER,15.3194387
314,2030,DOVER,17370,"DOVER, TOWN OF",NORFOLK,15.30453414
315,2492,NEEDHAM,44140,"NEEDHAM, TOWN OF",NORFOLK,9.17900439
316,2113,BOSTON,7000,BOSTON,SUFFOLK,0.08990889
317,1081,WALES,72355,"WALES, TOWN OF",HAMPDEN,15.08317281
318,2367,PLYMPTON,54380,"PLYMPTON, TOWN OF",PLYMOUTH,15.01761861
319,1375,SUNDERLAND,68365,"SUNDERLAND, TOWN OF",FRANKLIN,15.01391069
320,2601,HYANNIS,31820,BARNSTABLE,BARNSTABLE,9.16580994
321,1096,WILLIAMSBURG,79880,"ASHFIELD, TOWN OF",FRANKLIN,9.10332183
322,1862,NORTH BILLERICA,46680,"BILLERICA, TOWN OF",MIDDLESEX,9.02691277
323,1773,LINCOLN,35390,"LINCOLN, TOWN OF",MIDDLESEX,14.17605338
324,1985,WEST NEWBURY,77115,"WEST NEWBURY, TOWN OF",ESSEX,14.04268244
325,2557,OAK BLUFFS,50425,"OAK BLUFFS, TOWN OF",DUKES,0.08250296
326,1011,CHESTER,13450,"MIDDLEFIELD, TOWN OF",HAMPSHIRE,13.88726585
327,1923,DANVERS,16285,"DANVERS, TOWN OF",ESSEX,13.79238767
328,1929,ESSEX,21815,"ESSEX, TOWN OF",ESSEX,13.66307757
329,2666,TRURO,70570,"TRURO, TOWN OF",BARNSTABLE,13.6456308
330,1864,NORTH READING,48990,"NORTH READING, TOWN OF",MIDDLESEX,13.54211996
331,2713,CUTTYHUNK,16110,"GOSNOLD, TOWN OF",DUKES,13.51681236
332,2738,MARION,38505,"MARION, TOWN OF",PLYMOUTH,13.27331764
333,2540,FALMOUTH,23070,"FALMOUTH, TOWN OF",BARNSTABLE,12.19792898
334,2169,QUINCY,55745,QUINCY,NORFOLK,12.08161026
335,2537,EAST SANDWICH,20380,"SANDWICH, TOWN OF",BARNSTABLE,11.95072355
336,2762,PLAINVILLE,54065,"PLAINVILLE, TOWN OF",NORFOLK,11.53309661
337,1264,TYRINGHAM,71060,"TYRINGHAM, TOWN OF",BERKSHIRE,13.49442587
338,1719,BOXBOROUGH,7350,"BOXBOROUGH, TOWN OF",MIDDLESEX,10.61615492
339,1730,BEDFORD,4650,"BEDFORD, TOWN OF",MIDDLESEX,13.45908353
340,2186,MILTON,41725,"MILTON, TOWN OF",NORFOLK,13.2975273
